"rid", "binaryID"
12263,10000000010001000000000000000000000000000000001000000000000000000000000000000000
13657,10000000010001000000000000000000000000000000001000000000000000000000000000000001
13077,10000000010001000000000000000000000000000000001000000000000000000000000000000100
13653,10000000010001000000000000000000000000000000001000000000000000000000000000000110
12264,100000000100010000000000000000000000000000000010000000000000000000000000000000000
13656,100000000100010000000000000000000000000000000010000000000000000000000000000000001
13658,100000000100010000000000000000000000000000000010000000000000000000000000000000010
12279,1000000001000100000000000000000000000000000000100000000000000000000000000000000000
13655,1000000001000100000000000000000000000000000000100000000000000000000000000000000001
13079,1000000001000100000000000000000000000000000000100000000000000000000000000000000010
13088,1000000001000100000000000000000000000000000000100000000000000000000000000000000100
11054,10000000010001000000000000000000000000000000001000000000000000000000000000000000000
12280,10000000010001000000000000000000000000000000001000000000000000000000000000000000001
12265,10000000010001000000000000000000000000000000001000000000000000000000000000000000010
11055,100000000100010000000000000000000000000000000010000000000000000000000000000000000000
12281,100000000100010000000000000000000000000000000010000000000000000000000000000000000010
12282,100000000100010000000000000000000000000000000010000000000000000000000000000000000011
12266,100000000100010000000000000000000000000000000010000000000000000000000000000000000100
13087,100000000100010000000000000000000000000000000010000000000000000000000000000000000101
11056,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000
13401,1000000001000100000000000000000000000000000000100000000000000000000000000000000000001
13089,1000000001000100000000000000000000000000000000100000000000000000000000000000000000100
12283,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110
13654,1000000001000100000000000000000000000000000000100000000000000000000000000000000000111
12267,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000
13359,1000000001000100000000000000000000000000000000100000000000000000000000000000000001001
13090,1000000001000100000000000000000000000000000000100000000000000000000000000000000001010
11057,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000
13049,10000000010001000000000000000000000000000000001000000000000000000000000000000000000001
12284,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100
13720,10000000010001000000000000000000000000000000001000000000000000000000000000000000001101
13075,10000000010001000000000000000000000000000000001000000000000000000000000000000000001110
